LevelNo,SerialIdx,JpTitle,EnTitle,Reward,InLevelCoin,Cumulative,NeededCoin,Castle,LevelCommand(Next),TitlePictPath,AdditionalCoin,Remark
1,1,坂道こえてゴールを目指せ！,A Downhill Battle,100,51,151,100,土台,下２,1.png,,
3,1,"Hello, 3DWorld!","Hello, 3D World!",100,83,334,,,下１,3.png,,
4,1,さばくの太陽 あっちこっち,Under the Angry Sun,150,101,585,400,西１F,下１,4.png,,
5,1,行ったり来たり お化けやしき,The Mystery of the Haunted Manor,150,89,824,,,下１,5.png,,最後４回ブロック叩く
6,1,地下室でコイン集めて,Underground Coin Collecting,200,40,1064,,,R１,6.png,,
10,1,おくから登場！ マグナムキラー,Banzai Bill Ambush,150,68,1282,,,下１,10.png,,
11,1,シーソーを かたむけて,Seesaw Catapults,150,75,1507,,,下１,11.png,,序盤6枚なし、２枚とる
12,1,もぐってビックリ！ さかさマリオ,Tunnel to the Dark Side of the Moon,150,75,1732,600,本館１F,犬,12.png,,最初10コインとる、最後☆
Dog,1,つるつるにげ切れ ブランコクレーン,Swinging Claw Escape,200,97,2029,400,東１F,なし,Dog.png,,
7,1,ブランコクレーンのアスレチック場,Swinging Claw Ropes Course,150,52,2231,,,下２,7.png,,最後☆
9,1,4つのカギを求めて,The Keymaster,200,46,2477,,,R１,9.png,,右→左→中央
13,1,敵か味方か？カロンのこうら,Dry Bones Shell Boating,150,97,2724,1200,本館２F,下１,13.png,,
14,1,とびあがれ！たつまきさばく,Twisting Through the Desert Sands,150,94,2968,,,下１,14.png,,
15,1,ぬき足 さし足 ジャンプなし,No Jumping Allowed!,200,81,3249,,,R１,15.png,,最後20コイン取らない
19,1,大漁！ プクプクの海,Plenty of Cheep Cheeps in the Sea,150,101,3500,,,下１,19.png,,
20,1,たんけん！ ファイアクッパクラウン,Fire Koopa Clown Carnage,150,60,3710,,,緑キノ,20.png,,序盤10コインなし
Green,1,ジュゲムの雲で 気分はヘヴン,Head in the Clouds,0,27,3737,,,赤キノ,Green.png,,
Red,1,重たい石材 よっこらしょ,Heavy Stone Heave-Ho,0,22,3759,,,青キノ,Red.png,,最後1up
Blue,1,まいごのキノピオをさがして,Little Toad Lost,0,41,3800,1100,東２F（右端）,下２,Blue.png,,15枚までリカバリ可能(きのこヒップと最後)
21,1,スネークブロックで空の旅,Snake Blocks in the Sky,150,24,3974,,,下２,21.png,,
