LevelNo,JpTitle,EnTitle
1,坂道こえてゴールを目指せ！,A Downhill Battle
2,使いこなせ！ON/OFFスイッチ,ON/OFF Switch Research Expedition
3,"Hello, 3DWorld!","Hello, 3DWorld"
4,さばくの太陽 あっちこっち,Under the Angry Sun
5,行ったり来たり お化けやしき,The Mystery of the Haunted Manor
6,地下室でコイン集めて,Underground Coin Collecting
7,ブランコクレーンのアスレチック場,Swinging Claw Ropes Course
8,くつくつ大作戦,Shoe-Stopper
9,4つのカギを求めて,The Keymaster
10,おくから登場！ マグナムキラー,Banzai Bill Ambush
11,シーソーを かたむけて,Seesaw Catapults
12,もぐってビックリ！ さかさマリオ,Tunnel to the Dark Side of the Moon
13,敵か味方か？カロンのこうら,Dry Bones Shell Boating
14,とびあがれ！たつまきさばく,Twisting through the Desert Sands
15,ぬき足 さし足 ジャンプなし,NO JUMPING ALLOWED!
16,ファイアクッパJr.クラウンで うちまくれ！,That's One Hot Car!
17,ブランコクレーンでつかまえて,"Swing, Claw! Swing!"
18,ファイアボールと 木のぼりと,Treetop Fireballs
19,大漁！ プクプクの海,Plenty of Cheep Cheeps in the Sea
20,たんけん！ ファイアクッパクラウン,Fire Koopa Clown Carnage
21,スネークブロックで空の旅,Snake Blocks in the Sky
22,森の川の魚達,River Fish in the Forest
23,空にのび?る つるの先,Above the Clouds
24,せんにゅう！ クリボーのおうち,Goomba Clubhouse
25,タワーテレサの お化けやしき,Boo's Towering House of Terror
26,小さな星の大決戦,Big Showdown on a Little Star
27,あかヨッシーのプクプクたいじ,Red Yoshi's Cheep Cheep Cleanup
28,こうらをけって スイッチON！,The Way of the Shell
29,にげてにげて！ くさったキノコ,"Begone, Rotten Mushroom!"
30,足元注意！ てんめつブロック,Blink Blank Blunk
31,ビュービュー谷の 奥深く,Deep in the Windy Valley
32,ワナだらけ！ シーソーのとりで,Ancient Seesaw Fortress
33,ダッシュでON/OFFスイッチ,"Dash On, Dash Off"
34,マルマルジャンプで はねまくれ！,Bumper Jump Around!
35,木のぼりマスターへの道,Master of the Trees
36,さかさマリオとネッチー,Upside-Down Stretches
37,ぐらぐらシーソーの城,Wobbly Seesaw Castle
38,いそいで進め！ アリへいランド,Ant Trooper March
39,ファイアクッパJr.クラウンの 夜間飛行,Fly-By-Night Clown Car
40,かいくぐれ！ 輪になるテレサ,Boo-ring Course
41,地下に住む巨大生物,The Underground Menace
42,守って！ スネークブロック,"Save Me, Snake Block!"
43,ランタンと共に,With a Lantern
44,みんなでボヨヨン 雲の中,Bouncing through the Clouds
45,にげ切れ！ せりあがる溶岩,Lava Rising
46,テッペキ＆カンペキ城,Impassable Castle
47,海でもえる バブルトレイン,Lava Bubble Limbo
48,溶岩にひそむカロンをたおせ！,Dry Bones Lava Lurker
49,かけあがれ！ てんめつブロック,Blinking Block Blitz
50,くさったキノコ 大量発生！,Rotten Produce
51,クッパクラウンでコイン集め,Koopa Clown Car Coin Collecting
52,進め！ くらやみのリフト,The Darkness Lifts
53,カベキックでやりすごせ！,Get Over It!
54,あぶない太陽,"Angry, Angry Sun"
55,ゴーゴー！ ノコノコカー,"Koopa Troopa Car, Go!"
56,守って！ メット・ザ・ライド,BUZZY: The Movie: The Book: The Ride
57,深海の100枚コイン,100 Coins under the Sea
58,いそいでのぼれ！ たつまきどうくつ,Climbing Twister Cave
59,チョーゼツ砲台 乗り放題,The World's Greatest Cannon Ride
60,ふわふわジャンプで雲の上,Above the Clouds
61,地の底を目指して,Dirty Donuts
62,キケン！天然！フグマンネン,Threat Level: Porcupuffer
63,うって切りかえ ON/OFFスイッチ,ON/OFF Switcheroo!
64,こうそくスネークブロックでどこまでも,Fast Snake Block Frontier
65,ドンドン進め！あかPOWブロック,Red POW Block on the Move
66,パタメットを 乗りついで,Para-Beetle Transfer
67,ブンブンの 夜な夜なパーティー,Boom Boom Rager
68,追って追われて マグナムキラー,Banzai Bill Chase Scene
69,カベキックマスターへの道,The Road to Wall Jump Mastery
70,ツララの雨を かけぬけて,Freezing Rain
71,ON/OFFスイッチでノコノコ運び,ON/OFF Koopa Troopas
72,くつと雲の王国,Shoes in the Clouds
73,ふりそそぐバブルのお城,Lava Bubble Castle
74,ゲッソー花火10連発,Blooper Barrage
75,いいジュゲム わるいジュゲム,"Good Lakitu, Bad Lakitu"
76,打ち上げボムへいでコイン集め,"Launching Bob-ombs, Collecting Co-coins"
77,運命は石材と共に,Stone of Destiny
78,ひえひえ！ ツラランド,Icicle Playground
79,ピョンチュウマンション,Skipsqueak Towers
80,切りかえて ON/OFFスイッチのレール,ON/OFF Rail Switch
81,飛ばないで 空の旅,Sail the Skies...Without Jumping
82,つる からまりし お城にて,Vines in the Castle
83,あかヨッシー ほのおのハイウェイ,Red Yoshi's Highway of Flames
84,きせきを起こせ！ カロンこうら,Secret of the Dry Bones Shell
85,ジャンプはダメよ！ の大雪原,No-Jump Snowfield!
86,冬と春を行ったり来たり,Winter and Spring and Winter Again
87,ドンとゆけ！ ドンケツ城,Bing Bang Boom in Bully Castle!
88,氷山のチョロプーファミリー,Monty Mole Iceberg Getaway
89,びっくり！ からくり城,"Just a Normal, Everyday Castle"
90,無敵で走れ！ 風の大地,Invincible Windsprinter
Green,ジュゲムの雲で 気分はヘヴン,Head in the Clouds
